epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
68,8932.73,1.87482,1.10606,1.01938,0.71091,0.52756,0.49079,0.17723,2.39601,1.48186,1.24624,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367
69,9063.67,1.87749,1.09248,1.01505,0.71243,0.52343,0.48638,0.17637,2.40128,1.48291,1.25141,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
70,9194.57,1.86976,1.09029,1.01333,0.7061,0.52486,0.48586,0.17601,2.40111,1.48399,1.25216,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169
71,9325.36,1.85964,1.08339,1.01094,0.70821,0.52275,0.48671,0.1756,2.40593,1.48798,1.25521,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
72,9456.11,1.84691,1.07845,1.00626,0.70837,0.52434,0.48739,0.17696,2.40768,1.48482,1.2559,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971
73,9587.07,1.84834,1.07696,1.00455,0.71045,0.52217,0.4885,0.17749,2.41072,1.48519,1.258,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
74,9718.02,1.8222,1.06103,1.00417,0.70737,0.52141,0.48816,0.17681,2.41634,1.48609,1.26195,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773
75,9848.88,1.82093,1.053,1.00174,0.70326,0.52156,0.48424,0.17547,2.41869,1.48948,1.26381,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
76,9979.79,1.81042,1.05328,0.99713,0.69646,0.52275,0.48401,0.17463,2.42072,1.49668,1.26552,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
77,10111,1.79757,1.04046,0.99452,0.69829,0.51721,0.48345,0.1743,2.42013,1.4978,1.26643,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
78,10242.7,1.78228,1.03328,0.99137,0.6925,0.5153,0.48141,0.17394,2.42199,1.50494,1.26806,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377
79,10374.1,1.77111,1.02467,0.99117,0.69323,0.51262,0.48028,0.17264,2.42573,1.50549,1.27014,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
80,10505,1.77051,1.0171,0.98893,0.68662,0.51491,0.47885,0.17237,2.42869,1.50712,1.27208,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179
81,10635.9,1.76411,1.01266,0.98809,0.68585,0.51415,0.47931,0.17243,2.43269,1.50944,1.27375,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
82,10766.8,1.75086,1.00835,0.98199,0.68776,0.51052,0.4786,0.17215,2.43508,1.51019,1.27592,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981
83,10897.9,1.74102,1.00559,0.97957,0.68957,0.50841,0.47873,0.1714,2.43586,1.51255,1.27758,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
84,11028.8,1.73704,0.99356,0.97948,0.68435,0.51205,0.47909,0.17146,2.4354,1.51263,1.27775,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783
85,11159.5,1.72188,0.98595,0.97517,0.68588,0.50669,0.47858,0.17044,2.43806,1.51459,1.28025,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
86,11290,1.71595,0.98486,0.97286,0.68547,0.50727,0.47785,0.17103,2.43986,1.51801,1.28141,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585
87,11420.8,1.70717,0.97568,0.97117,0.68805,0.5044,0.47834,0.17095,2.43953,1.51924,1.28238,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
88,11551.4,1.69247,0.96671,0.96858,0.68567,0.50478,0.47866,0.17064,2.44033,1.52056,1.28345,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387
89,11682.1,1.67879,0.96109,0.96304,0.68324,0.5048,0.47686,0.17093,2.44112,1.5204,1.28441,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
90,11812.5,1.66943,0.94921,0.96208,0.68787,0.50313,0.47753,0.17123,2.44322,1.52007,1.28564,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189
91,11946.2,1.66592,0.94371,1.00495,0.68927,0.50478,0.47812,0.17161,2.44448,1.52067,1.28569,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
92,12077.1,1.62476,0.89782,0.99397,0.68983,0.50519,0.47698,0.17071,2.44528,1.51952,1.28579,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991
93,12208.1,1.60001,0.88669,0.9888,0.68794,0.50516,0.47516,0.1701,2.44689,1.52035,1.28612,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
94,12338.6,1.58885,0.88092,0.98692,0.68461,0.50511,0.47425,0.16961,2.45002,1.52263,1.28763,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793
95,12469.1,1.57772,0.87351,0.98052,0.68845,0.50402,0.47362,0.16953,2.45241,1.52186,1.28896,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694
96,12600.1,1.56002,0.86282,0.97559,0.68349,0.50746,0.47462,0.16912,2.45383,1.52213,1.29047,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595
97,12731,1.5441,0.85612,0.9742,0.68051,0.50664,0.47238,0.16834,2.45561,1.52334,1.29139,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496
98,12861.6,1.53738,0.8491,0.97028,0.67692,0.50717,0.47171,0.16763,2.45711,1.52462,1.29195,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397
99,12992.2,1.52163,0.83888,0.96783,0.67796,0.50803,0.47196,0.16739,2.459,1.52471,1.29326,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298
100,13123.4,1.50864,0.83673,0.96468,0.67473,0.50926,0.47047,0.16691,2.4608,1.52688,1.29474,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199
