epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
90,16299.5,1.51889,0.8942,0.93018,0.66975,0.47387,0.4188,0.13597,2.69202,1.78752,1.43008,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189
91,16481.7,1.49785,0.87352,0.96197,0.66887,0.47425,0.41608,0.13455,2.69339,1.78972,1.43224,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
92,16663.5,1.45646,0.84521,0.95237,0.66365,0.47271,0.41323,0.13372,2.69688,1.7931,1.43608,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991
93,16845.2,1.43381,0.82952,0.94226,0.66429,0.47118,0.41212,0.13306,2.69999,1.7971,1.43764,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
94,17027,1.41131,0.82169,0.93764,0.66077,0.47086,0.40953,0.13184,2.70261,1.80123,1.43984,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793
95,17208.3,1.40531,0.81885,0.94022,0.66568,0.46297,0.40811,0.13085,2.70503,1.80423,1.44225,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694
96,17390.2,1.38844,0.80682,0.93522,0.66951,0.46195,0.40865,0.13026,2.70657,1.80729,1.44408,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595
97,17571.8,1.37172,0.79916,0.92965,0.66913,0.4608,0.4067,0.12979,2.7091,1.81235,1.44714,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496
98,17753.5,1.36114,0.79694,0.92582,0.67245,0.46195,0.41008,0.13008,2.71141,1.81474,1.4499,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397
99,17935,1.34439,0.78215,0.92551,0.67784,0.4601,0.40935,0.12991,2.71342,1.81803,1.45142,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298
100,18116.9,1.33358,0.77667,0.92344,0.68152,0.4558,0.40751,0.12998,2.71548,1.8202,1.45353,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199
